Source,Target
Ты победил?,Did you win?
Вы выиграли?,Did you win?
Вы победили?,Did you win?
Выиграли?,Did you win?
"Сделай, как я прошу.",Do as I ask.
"Сделайте, как я прошу.",Do as I ask.
"Делай, как я говорю.",Do as I say.
"Делайте, как я говорю.",Do as I say.
Переделай!,Do it again!
Переделайте!,Do it again!
Сделай это ещё раз!,Do it again!
Сделайте это ещё раз!,Do it again!
Сделай это ещё раз.,Do it again.
Сделайте это ещё раз.,Do it again.
Сделай это снова.,Do it again.
Сделайте это снова.,Do it again.
Сделай это позже.,Do it later.
Сделайте это позже.,Do it later.
Сделай как следует.,Do it right.
Для тебя это важно?,Do you care?
Тебя это колышет?,Do you care?
Для вас это важно?,Do you care?
Тебе не всё равно?,Do you care?
Вам не всё равно?,Do you care?
Ты рыбачишь?,Do you fish?
Ты не против?,Do you mind?
Вы не против?,Do you mind?
Ты поёшь?,Do you sing?
Вы поёте?,Do you sing?
Ты работаешь?,Do you work?
Делай свою работу.,Do your job.
Занимайся своим делом.,Do your job.
Занимайтесь своим делом.,Do your job.
Не спорь.,Don't argue.
Не спорьте.,Don't argue.
Не обманывай.,Don't cheat.
Не делай этого!,Don't do it!
Не делайте этого!,Don't do it!
Не делай этого!,Don't do it.
Не делайте этого!,Don't do it.
Не дерись.,Don't fight.
Не боритесь.,Don't fight.
Не злорадствуй.,Don't gloat.
Не торжествуйте!,Don't gloat.
Не смейтесь!,Don't laugh.
Не смейся!,Don't laugh.
Не уходи!,Don't leave!
Не уезжай!,Don't leave!
Не уходите!,Don't leave!
Не уезжайте!,Don't leave!
Не уходи!,Don't leave.
Не уезжай!,Don't leave.
Не уходи.,Don't leave.
Не уходите!,Don't leave.
Не уезжайте!,Don't leave.
Не паникуй!,Don't panic!
Не паникуйте!,Don't panic!
Не паникуй.,Don't panic.
Не паникуйте.,Don't panic.
Не стреляй!,Don't shoot!
Не стреляйте.,Don't shoot!
Не стреляйте!,Don't shoot!
Не стреляй!,Don't shoot.
Не стреляйте.,Don't shoot.
Не кричи.,Don't shout.
Не кричите.,Don't shout.
Не улыбайся.,Don't smile.
Не улыбайтесь.,Don't smile.
Не кури.,Don't smoke.
Не курите.,Don't smoke.
Не стой.,Don't stand.
Не стойте.,Don't stand.
Не пяльтесь.,Don't stare.
Не ругайся!,Don't swear.
Не беспокойся.,Don't worry.
Не беспокойтесь.,Don't worry.
Не парься.,Don't worry.
Не переживай.,Don't worry.
Поешь с нами.,Eat with us.
Поешьте с нами.,Eat with us.
Закончи это.,Finish this.
Подбрось монету.,Flip a coin.
Подбросьте монету.,Flip a coin.
Прости Тома.,Forgive Tom.
Простите Тома.,Forgive Tom.
Переоденься.,Get changed.
Оденься.,Get dressed.
Одевайтесь.,Get dressed.
Оденьтесь.,Get dressed.
Одевайся.,Get dressed.
Встаньте в очередь.,Get in line.
Встань в очередь.,Get in line.
Займи очередь.,Get in line.
Займите очередь.,Get in line.
Веди себя серьёзно!,Get serious!
Будь серьёзным!,Get serious!
Будьте серьёзны!,Get serious!
Возьмись за ум.,Get serious.
Давай серьёзно.,Get serious.
Будь серьёзнее.,Get serious.
Начинай.,Get started.
Начните.,Get started.
Начинайте.,Get started.
Приступай к работе!,Get to work!
Приступайте к работе!,Get to work!
Приступай к работе!,Get to work.
Приступайте к работе!,Get to work.
Принимайся за работу.,Get to work.
Принимайтесь за работу.,Get to work.
"Вставай, Том.","Get up, Tom."
Вставай сейчас же!,"Get up, now!"
Вставайте сейчас же!,"Get up, now!"
А ну вставай!,"Get up, now!"
Теперь уходи.,Go away now.
Теперь уходите.,Go away now.
Иди поищи Тома.,Go find Tom.
Иди выясни.,Go find out.
Иди и выясни.,Go find out.
Сходи за помощью.,Go for help.
Сходите за помощью.,Go for help.
Сходи за помощью.,Go get help.
Сходите за помощью.,Go get help.
Иди помоги Тому.,Go help Tom.
Идите помогите Тому.,Go help Tom.
Поднимайся на борт.,Go on board.
Поднимайтесь на борт.,Go on board.
Иди садись.,Go sit down.
Идите и сядьте.,Go sit down.
Иди сядь.,Go sit down.
Идите сядьте.,Go sit down.
Идите садитесь.,Go sit down.
Иди прямо.,Go straight.
Идите прямо.,Go straight.
Пойди скажи Тому.,Go tell Tom.
Пойдите скажите Тому.,Go tell Tom.
Иди туда.,Go that way.
Идите туда.,Go that way.
Иди потуда.,Go that way.
Идите потуда.,Go that way.
Иди по этой дороге.,Go that way.
Иди этой дорогой.,Go that way.
Засыпай.,Go to sleep.
Засыпайте.,Go to sleep.
Иди с Томом.,Go with Tom.
Идите с Томом.,Go with Tom.
Поезжай с Томом.,Go with Tom.
Поезжайте с Томом.,Go with Tom.
Выпей пива.,Have a beer.
Погляди.,Have a look.
Посмотри.,Have a look.
Взгляни.,Have a look.
Взгляните.,Have a look.
Присаживайся.,Have a seat.
Присаживайтесь.,Have a seat.
Мы встречались?,Have we met?
Он может прийти.,He can come.
Он может читать.,He can read.
Он умеет читать.,He can read.
Он умеет плавать.,He can swim.
Он хихикал.,He chuckled.
Он хихикнул.,He chuckled.
Он это нашел.,He found it.
Он его нашёл.,He found it.
Он её нашёл.,He found it.
Он сбежал.,He got away.
Он улизнул.,He got away.
Он удрал.,He got away.
Он состарился.,He grew old.
Он пришёл!,He has come!
У него кишка не тонка.,He has guts.
У него есть вино.,He has wine.
Он нам помогает.,He helps us.
Он одинок.,He is alone.
Он один.,He is alone.
Он безумен.,He is crazy.
Он сумасшедший.,He is crazy.
Он псих.,He is crazy.
Ему восемь.,He is eight.
Он счастлив.,He is happy.
Он ненавистный.,He is hated.
Он врёт.,He is lying.
Он лжёт.,He is lying.
Он противный.,He is nasty.
Он устал.,He is tired.
Он молод.,He is young.
Он молодой.,He is young.
Он меня любит.,He loves me.
Он нас любит.,He loves us.
Ему это нужно.,He needs it.
Он ему нужен.,He needs it.
Она ему нужна.,He needs it.
Оно ему нужно.,He needs it.
Он смилостивился.,He relented.
Он смягчился.,He relented.
Он уступил.,He relented.
Он прищурился.,He squinted.
Он встал.,He stood up.
Он поднялся.,He stood up.
Он был занят.,He was busy.
Он мудак.,He's a jerk.
Он подлец.,He's a jerk.
Он лжец.,He's a liar.
Он лгун.,He's a liar.
Он врун.,He's a liar.
Он ботаник.,He's a nerd.
Он задрот.,He's a nerd.
Он неряха.,He's a slob.
Он разгильдяй.,He's a slob.
Он спит.,He's asleep.
Он едет.,He's coming.
Он идёт.,He's coming.
Он притворяется.,He's faking.
Он симулирует.,He's faking.
Он мой ровесник.,He's my age.
Его нет.,He's not in.
Он худой.,He's skinny.
Он тощий.,He's skinny.
Он худощавый.,He's skinny.
Он поджарый.,He's skinny.
Он сильный.,He's strong.
Он тупой.,He's stupid.
Он тормоз.,He's stupid.
Он глупый.,He's stupid.
Он олень.,He's stupid.
"Он тупой, как олень.",He's stupid.
Он бестолковый.,He's stupid.
Он безмозглый.,He's stupid.
Он бестолочь.,He's stupid.
Он безголовый.,He's stupid.
Он непонятливый.,He's stupid.
Он недалекий.,He's stupid.
Он ограниченный.,He's stupid.
Он слабоумный.,He's stupid.
Он скудоумный.,He's stupid.
"Он глуп, как бревно.",He's stupid.
"Он тупой, как пробка.",He's stupid.
Он тормознутый.,He's stupid.
Он неумный.,He's stupid.
Он придурковатый.,He's stupid.
Он тупоголовый.,He's stupid.
Он тупорылый.,He's stupid.
Он узколобый.,He's stupid.
Он малоумный.,He's stupid.
Он баран.,He's stupid.
Он чудик.,He's stupid.
Выслушай меня.,Hear me out.
Выслушайте меня.,Hear me out.
Ещё раз привет.,Hello again.
Привет ещё раз!,Hello again.
Выручи меня.,Help me out.
Выручите меня.,Help me out.
Вот она!,Here she is!
А вот и она!,Here she is!
А вот и мы!,Here we are!
Вот и мы.,Here we are!
Вот и мы.,Here we are.
А вот и мы.,Here we are.
"Вот, лови!","Here, catch!"
"Эй, вставай.","Hey, get up."
"Эй, вставайте.","Hey, get up."
"Привет, я Том.","Hi, I'm Tom."
Подержи мою сумку.,Hold my bag.
Подержите мою сумку.,Hold my bag.
Как поживаете?,How are you?
Как твои дела?,How are you?
Как дела?,How are you?
Как у вас дела?,How are you?
Как твоё ничего?,How are you?
Как ты?,How are you?
Как у Вас дела?,How are you?
Как живёшь?,How are you?
Как любопытно!,How curious!
Как жизнь?,How is life?
Как странно!,How strange!
До чего странно!,How strange!
Я обожаю Тома.,I adore Tom.
Я тебя обожаю.,I adore you.
Я тоже пошла.,I also went.
Я тоже поехал.,I also went.
Я тоже поехала.,I also went.
Я монах.,I am a monk.
Я близнец.,I am a twin.
Я лучше.,I am better.
Мне лучше.,I am better.
Иду.,I am coming.
Я иду.,I am coming.
Я клюю носом.,I am dozing.
Я дремлю.,I am dozing.
Я в сети.,I am online.
Я выше.,I am taller.
Я пытаюсь.,I am trying.
Я стараюсь.,I am trying.
Прошу прощения.,I apologize.
Извините.,I apologize.
Я извиняюсь.,I apologize.
Я спросил у Тома.,I asked Tom.
Я спросил Тома.,I asked Tom.
Я спросила Тома.,I asked Tom.
Я спросил почему.,I asked why.
Я спросила почему.,I asked why.
"Полагаю, что так.",I assume so.
Я виню Тома.,I blame Tom.
Я обвиняю Тома.,I blame Tom.
Я его купил.,I bought it.
Я её купил.,I bought it.
Я его закопал.,I buried it.
Я её закопал.,I buried it.
Я его сжёг.,I burned it.
Я его сожгла.,I burned it.
Я её сжёг.,I burned it.
Я её сожгла.,I burned it.
Я вернулся.,I came back.
Я вернулась.,I came back.
Я могу танцевать.,I can dance.
Я умею танцевать.,I can dance.
Я могу это сделать.,I can do it.
Я умею водить машину.,I can drive.
Я умею водить.,I can drive.
Я умею кататься на коньках.,I can skate.
Не могу есть.,I can't eat.
Не могу съесть.,I can't eat.
Не могу скушать.,I can't eat.
Не могу кушать.,I can't eat.
Я не могу есть.,I can't eat.
Я не умею летать.,I can't fly.
Я не могу летать.,I can't fly.
Я не могу сказать.,I can't say.
Не могу сказать.,I can't say.
Я не вижу.,I can't see.
Я слеп.,I can't see.
Я не умею шить.,I can't sew.
Я не могу победить.,I can't win.
Я не могу выиграть.,I can't win.
Я её поймал.,I caught it.
Я его поймал.,I caught it.
Я выбрал тебя.,I chose you.
Я тебя выбрал.,I chose you.
Я вас выбрал.,I chose you.
Я выбрал вас.,I chose you.
Я сознался.,I confessed.
Я призналась.,I confessed.
Я признался.,I confessed.
Я мог попытаться.,I could try.
Я могла попытаться.,I could try.
Я мог попробовать.,I could try.
Я могла попробовать.,I could try.
Я мог бы выиграть.,I could win.
Я мог бы победить.,I could win.
Я часто пла́чу.,I cry a lot.
Я не пошёл.,I didn't go.
Я не пошла.,I didn't go.
Я не ездил.,I didn't go.
Я не ездила.,I didn't go.
Я не поехал.,I didn't go.
Я не поехала.,I didn't go.
Я не ходил.,I didn't go.
Я не ходила.,I didn't go.
Я не согласился.,I disagreed.
Я не согласилась.,I disagreed.
Я не плачу.,I don't cry.
Я не ем.,I don't eat.
Я не вру.,I don't lie.
Я не лгу.,I don't lie.
Я клевал носом.,I dozed off.
Я спал на ходу.,I dozed off.
Я пил чай.,I drank tea.
Я выпил чаю.,I drank tea.
Я выкопал яму.,I dug a pit.
Я вырыл яму.,I dug a pit.
Я много ем.,I eat a lot.
Я ем в одиночестве.,I eat alone.
Я ем один.,I eat alone.
Я ем одна.,I eat alone.
Я ем хлеб.,I eat bread.
Я ем фрукт.,I eat fruit.
Мне грустно.,I feel blue.
Мне холодно.,I feel cold.
Я чувствую себя хорошо.,I feel fine.
Я прекрасно себя чувствую.,I feel fine.
Я чувствую себя потерянным.,I feel lost.
Я чувствую себя потерянной.,I feel lost.
Я чувствую себя в безопасности.,I feel safe.
Мне нехорошо.,I feel sick.
Мне дурно.,I feel sick.
Меня тошнит.,I feel sick.
Меня мутит.,I feel sick.
Мне плохо!,I feel sick.
Мне тепло.,I feel warm.
Я чувствую тепло.,I feel warm.
Я чувствую слабость.,I feel weak.
Мне было холодно.,I felt cold.
Я замёрз.,I felt cold.
Я замёрзла.,I felt cold.
Я почувствовал страх.,I felt fear.
Я почувствовал себя в безопасности.,I felt safe.
Я почувствовала себя в безопасности.,I felt safe.
Я чувствовал себя в безопасности.,I felt safe.
Я чувствовала себя в безопасности.,I felt safe.
Я это почувствовал.,I felt that.
Я почувствовал слабость.,I felt weak.
Я уволил Тома.,I fired Tom.
Я уволила Тома.,I fired Tom.
Я об этом забыл.,I forgot it.
Я нашёл Тома.,I found Tom.
Я нашла Тома.,I found Tom.
Я вас нашёл.,I found you.
Я тебя нашёл.,I found you.
Я Вас нашла.,I found you.
Мне стало скучно.,I get bored.
Я получил работу.,I got a job.
Я устроился на работу.,I got a job.
Я разозлился.,I got angry.
Мне стало скучно.,I got bored.
У меня закружилась голова.,I got dizzy.
Я напился.,I got drunk.
Меня оштрафовали.,I got fined.
Мне повезло.,I got lucky.
Я застряла.,I got stuck.
Меня взяли.,I got taken.
Я устала.,I got tired.
Я расстроилась.,I got upset.
Я выращиваю рис.,I grow rice.
"Полагаю, что нет.",I guess not.
У меня была кошка.,I had a cat.
У меня был кот.,I had a cat.
У меня была работа.,I had a job.
У меня был сын.,I had a son.
Я должен был уйти.,I had to go.
Я должен был пойти.,I had to go.
Мне пришлось пойти.,I had to go.
Мне пришлось поехать.,I had to go.
Мне надо было пойти.,I had to go.
Мне надо было поехать.,I had to go.
Ненавижу летучих мышей.,I hate bats.
Я терпеть не могу пиво.,I hate beer.
Ненавижу кошек.,I hate cats.
Я ненавижу котов.,I hate cats.
Я ненавижу кошек.,I hate cats.
Я ненавижу собак.,I hate dogs.
Ненавижу собак.,I hate dogs.
Ненавижу рыбу.,I hate fish.
Я ненавижу рыбу.,I hate fish.
Я терпеть не могу рыбу.,I hate fish.
Ненавижу математику.,I hate math.
Ненавижу мышей.,I hate mice.
Ненавижу молоко.,I hate milk.
Терпеть не могу молоко.,I hate milk.
Я ненавижу молоко.,I hate milk.
Я ненавижу дождь.,I hate rain.
Ненавижу дождь.,I hate rain.
Ненавижу крыс.,I hate rats.
Терпеть не могу крыс.,I hate rats.
Я ненавижу песок.,I hate sand.
Ненавижу песок.,I hate sand.
Ненавижу снег.,I hate snow.
Ненавижу это.,I hate that.
Терпеть этого не могу.,I hate that.
Я их ненавижу.,I hate them.
Ненавижу это.,I hate this.
Терпеть этого не могу.,I hate this.
Я терпеть не могу вино.,I hate wine.
Я ненавижу работу.,I hate work.
Я ненавидел Тома.,I hated Tom.
Я ненавидела Тома.,I hated Tom.
У меня есть триста долларов.,I have $300.
У меня триста долларов.,I have $300.
У меня есть телевизор.,I have a TV.
У меня есть наличные.,I have cash.
У меня есть глаза.,I have eyes.
У меня есть еда.,I have food.
Еда у меня есть.,I have food.
У меня есть дети.,I have kids.
У меня дети.,I have kids.
У меня есть ещё.,I have more.
У меня ещё есть.,I have more.
У меня есть новости.,I have news.
У меня есть время.,I have time.
Время у меня есть.,I have time.
У меня есть вино.,I have wine.
Я слышу это.,I hear that.
Я услышал Тома.,I heard Tom.
Я услышала Тома.,I heard Tom.
Я тебя слышал.,I heard you.
Я вас слышал.,I heard you.
Я колебался.,I hesitated.
Я колебалась.,I hesitated.
Я нанял Тома.,I hired Tom.
Я взял Тома на работу.,I hired Tom.
Я это знал.,I knew that.
Я знал.,I knew that.
Я знал это.,I knew that.
Я это знаю.,I know that.
Я это знаю.,I know this.
Я люблю пиво.,I like beer.
Я пиво люблю.,I like beer.
Мне нравится синий цвет.,I like blue.
Мне синий нравится.,I like blue.
Я люблю синий цвет.,I like blue.
Мне нравятся оба.,I like both.
Мне нравятся обе.,I like both.
Мне оба нравятся.,I like both.
Мне обе нравятся.,I like both.
Я люблю котов.,I like cats.
Я люблю кошек.,I like cats.
Мне нравятся собаки.,I like dogs.
Я люблю рыбу.,I like fish.
Мне нравится джаз.,I like jazz.
Я люблю детей.,I like kids.
Я люблю молоко.,I like milk.
Я люблю горох.,I like peas.
Я люблю свинину.,I like pork.
Я люблю дождь.,I like rain.
Я люблю рис.,I like rice.
Я люблю рок.,I like rock.
Я люблю снег.,I like snow.
Мне это нравится.,I like that.
Мне нравится это.,I like that.
Они мне нравятся.,I like them.
Мне это нравится.,I like this.
Это мне нравится.,I like this.
Я люблю вино.,I like wine.
Мне нравился Том.,I liked Tom.
Том мне нравился.,I liked Tom.
Мне Том понравился.,I liked Tom.
Том мне понравился.,I liked Tom.
Я здесь живу.,I live here.
Я живу здесь.,I live here.
Здесь я живу.,I live here.
Я потерял лицо.,I lost face.
Я люблю Мэри.,I love Mary.
Я люблю говядину.,I love beef.
Я люблю пиво.,I love beer.
Я люблю кошек.,I love cats.
Я обожаю собак.,I love dogs.
Я люблю осень.,I love fall.
Я люблю рыбу.,I love fish.
Обожаю рыбу.,I love fish.
Я люблю гольф.,I love golf.
Я люблю детей.,I love kids.
Я люблю жизнь.,I love life.
Я люблю рис.,I love rice.
Мне нравится рок.,I love rock.
Я люблю рок.,I love rock.
Я люблю снег.,I love snow.
Я люблю суп.,I love soup.
Обожаю суп.,I love soup.
Я их люблю.,I love them.
Я люблю их.,I love them.
Обожаю телятину.,I love veal.
Я любила Тома.,I loved Tom.
Я любил Тома.,I loved Tom.
Я ее любил.,I loved her.
Я ее любила.,I loved her.
Я любил тебя.,I loved you.
Я тебя любил.,I loved you.
Я Вас любил.,I loved you.
Я любила тебя.,I loved you.
Я тебя любила.,I loved you.
Я вас любила.,I loved you.
Я любила вас.,I loved you.
Я любил вас.,I loved you.
Я приготовил рис.,I made rice.
Я сделал это.,I made that.
Это я и имею в виду.,I mean that.
Я облажался.,I messed up.
Я могу выиграть.,I might win.
Я могу победить.,I might win.
Я по нему скучал.,I missed it.
Я должен спрятаться.,I must hide.
Я должен послушаться.,I must obey.
Мне нужны оба.,I need both.
Мне обе нужны.,I need both.
Мне нужны наличные.,I need cash.
Мне нужна еда.,I need food.
Мне нужен клей.,I need glue.
Мне нужна помощь.,I need help.
Мне нужна помощь!,I need help.
Мне нужен мой.,I need mine.
Мне нужна моя.,I need mine.
Мне нужно моё.,I need mine.
Мне нужны мои.,I need mine.
Мне нужно ещё.,I need more.
Они мне нужны.,I need them.
Я нуждаюсь в них.,I need them.
Я в них нуждаюсь.,I need them.
Мне нужно это.,I need this.
Мне нужно время.,I need time.
Он был мне нужен.,I needed it.
Она была мне нужна.,I needed it.
Оно было мне нужно.,I needed it.
Я никогда не плачу.,I never cry.
Я никогда не выигрываю.,I never win.
Я часто катаюсь на лыжах.,I often ski.
Я часто хожу на лыжах.,I often ski.
Я часто выигрываю.,I often win.
Я часто побеждаю.,I often win.
Я против.,I oppose it.
Я проспал.,I overslept.
Я проспала.,I overslept.
Я плачу налоги.,I pay taxes.
Я играю в гольф.,I play golf.
Я возразил.,I protested.
Я возразила.,I protested.
Я протестовал.,I protested.
Я протестовала.,I protested.
Я читаю по губам.,I read lips.
Я выздоровел.,I recovered.
Я поправился.,I recovered.
Я сожалею об этом.,I regret it.
"Я сказал, хватит!",I said stop.
"Я сказал, прекрати.",I said stop.
Я так сказал.,I said that.
Я это сказал.,I said that.
Я пел хорошо.,I sang well.
Я хорошо пел.,I sang well.
Я тебя спас.,I saved you.
Я вас спас.,I saved you.
Я Вас спас.,I saved you.
Я спас тебя.,I saved you.
Я спасла тебя.,I saved you.
Я видел НЛО.,I saw a UFO.
Я видел собаку.,I saw a dog.
Я увидел собаку.,I saw a dog.
Я видела собаку.,I saw a dog.
Я увидел пса.,I saw a dog.
Я видел пса.,I saw a dog.
Я видел лису.,I saw a fox.
Я позаботился об этом.,I saw to it.
Я вижу коробку.,I see a box.
Я вижу мальчика.,I see a boy.
Я многое вижу.,I see a lot.
Я вижу дым.,I see smoke.
Я вижу дымок.,I see smoke.
Я продаю машины.,I sell cars.
От меня плохо пахнет.,I smell bad.
Я чувствую запах газа.,I smell gas.
Я чувствую запах бензина.,I smell gas.
Чую запах газа.,I smell gas.
Чую запах бензина.,I smell gas.
Я хихикнул.,I snickered.
Я хихикнула.,I snickered.
Я продал телевизор.,I sold a TV.
Я заикался.,I stammered.
Я запинался.,I stammered.
Я боролся.,I struggled.
Я боролась.,I struggled.
Я изо всех сил пытался.,I struggled.
Мне удалось.,I succeeded.
У меня получилось.,I succeeded.
Я сдаюсь.,I surrender.
Сдаюсь.,I surrender.
Я быстро говорю.,I talk fast.
Благодарю Вас.,I thank you.
Благодарю тебя.,I thank you.
Я доверяю Тому.,I trust Tom.
Я Тому доверяю.,I trust Tom.
Я ей доверяю.,I trust her.
Я ему доверяю.,I trust him.
Я тебе доверяю.,I trust you.
Я вам доверяю.,I trust you.
Я Вам доверяю.,I trust you.
Я хочу Мэри.,I want Mary.
Я хочу торт.,I want cake.
Хочу наличные.,I want cash.
Мне нужны наличные.,I want cash.
Я хочу яйца.,I want eggs.
Мне нужна помощь.,I want help.
Я хочу детей.,I want kids.
Я хочу свой.,I want mine.
Я хочу ещё.,I want more.
Я хочу супа.,I want soup.
Я этого хочу.,I want that.
Я их хочу.,I want them.
Я хочу их.,I want them.
Мне нужно время.,I want time.
Я был жив.,I was alive.
Я был один.,I was alone.
Я была одна.,I was alone.
Я был сердит.,I was angry.
Я была сердита.,I was angry.
Я был зол.,I was angry.
Я была зла.,I was angry.
Я не спал.,I was awake.
Я не спала.,I was awake.
Я скучал.,I was bored.
Я скучала.,I was bored.
Мне было скучно.,I was bored.
У меня кружилась голова.,I was dizzy.
Я был пьян.,I was drunk.
Я была пьяна.,I was drunk.
Я был пьяный.,I was drunk.
Я была пьяная.,I was drunk.
Я был уволен.,I was fired.
Меня уволили.,I was fired.
Я был счастлив.,I was happy.
Я была счастлива.,I was happy.
Меня наняли.,I was hired.
Меня взяли на работу.,I was hired.
Я был раздражён.,I was irked.
Я была раздражена.,I was irked.
Мне повезло.,I was lucky.
Мне везло.,I was lucky.
Я лгал.,I was lying.
Я был тронут.,I was moved.
Я была наивна.,I was naive.
Я был наивен.,I was naive.
Я была доверчива.,I was naive.
Я был голым.,I was naked.
Я была голой.,I was naked.
Я был голый.,I was naked.
Я был готов.,I was ready.
Я была готова.,I was ready.
Я был прав.,I was right.
Я была права.,I was right.
Я был трезв.,I was sober.
Я был трезвый.,I was sober.
Я была трезвая.,I was sober.
Я был зажат.,I was stuck.
Я был там.,I was there.
Я была там.,I was there.
Я там был.,I was there.
Я там была.,I was there.
Я был уставшим.,I was tired.
Я был расстроен.,I was upset.
Я была расстроена.,I was upset.
Я ошибся.,I was wrong.
Я ошибался.,I was wrong.
Я был неправ.,I was wrong.
Я был не прав.,I was wrong.
Я была не права.,I was wrong.
Я его вымыл.,I washed it.
Я его помыл.,I washed it.
Я её вымыл.,I washed it.
Я её помыл.,I washed it.
Я ушёл домой.,I went home.
Я пошёл домой.,I went home.
Я тоже пошла.,"I went, too."
Я тоже поехал.,"I went, too."
Я тоже поехала.,"I went, too."
Я прошептал.,I whispered.
Я помогу.,I will help.
Я подчинюсь.,I will obey.
Я послушаюсь.,I will obey.
Я останусь.,I will stay.
Я опять выиграл.,I won again.
Я не буду спрашивать.,I won't ask.
Я не буду плакать.,I won't cry.
Я не запла́чу.,I won't cry.
Я плакать не буду.,I won't cry.
Я не умру.,I won't die.
Я не буду лгать.,I won't lie.
Я не буду врать.,I won't lie.
Я не буду бегать.,I won't run.
Я работаю быстро.,I work fast.
Я быстро работаю.,I work fast.
Я работаю усердно.,I work hard.
Я здесь работаю.,I work here.
Я бы попросил Тома.,I'd ask Tom.
Я бы попросила Тома.,I'd ask Tom.
Я бы у Тома спросил.,I'd ask Tom.
Я бы у Тома спросила.,I'd ask Tom.
Я бы это сделал.,I'd do that.
Я бы сказал да.,I'd say yes.
Я бы согласился.,I'd say yes.
Я присоединюсь.,I'll attend.
Я поучаствую.,I'll attend.
Я буду.,I'll attend.
Я куплю это.,I'll buy it.
Покупаю.,I'll buy it.
Я его куплю.,I'll buy it.
Я её куплю.,I'll buy it.
Я переоденусь.,I'll change.
Я изменюсь.,I'll change.
Я решу.,I'll decide.
Я съем это.,I'll eat it.
Я её съем.,I'll eat it.
Я съем её.,I'll eat it.
Я съем его.,I'll eat it.
Я его починю.,I'll fix it.
Я её починю.,I'll fix it.
Я пойду следом.,I'll follow.
Я войду внутрь.,I'll get in.
Я возьму.,I'll get it.
Я встану.,I'll get up.
Я проснусь.,I'll get up.
Я сейчас пойду.,I'll go now.
Пойду посмотрю.,I'll go see.
Я справлюсь.,I'll manage.
Я скажу.,I'll say it.
Я это скажу.,I'll say it.
Я закричу.,I'll scream.
Я буду кричать.,I'll scream.
Я попробую.,I'll try it.
Я попробую это.,I'll try it.
Я его попробую.,I'll try it.
Я её попробую.,I'll try it.
Я воспользуюсь этим.,I'll use it.
Я буду это использовать.,I'll use it.
Мне тоже семнадцать лет.,"I'm 17, too."
Мне тоже семнадцать.,"I'm 17, too."
Я пекарь.,I'm a baker.
Я боксер.,I'm a boxer.
Я ребёнок.,I'm a child.
Я тренер.,I'm a coach.
Я сторож.,I'm a guard.
Я гид.,I'm a guide.
Я недотёпа.,I'm a klutz.
Я одиночка.,I'm a loner.
Я неудачник.,I'm a loser.
Я неудачница.,I'm a loser.
Я лузер.,I'm a loser.
Я бедолага.,I'm a loser.
Я горемыка.,I'm a loser.
Я медик.,I'm a medic.
Я несовершеннолетний.,I'm a minor.
Я несовершеннолетняя.,I'm a minor.
Я медсестра.,I'm a nurse.
Я медбрат.,I'm a nurse.
Я пилот.,I'm a pilot.
Я летчик.,I'm a pilot.
Я раввин.,I'm a rabbi.
Я бунтарь.,I'm a rebel.
Я мятежник.,I'm a rebel.
Я бунтарка.,I'm a rebel.
Я мятежница.,I'm a rebel.
Я веган.,I'm a vegan.
Я вдова.,I'm a widow.
Я женщина.,I'm a woman.
Меня усыновили.,I'm adopted.
Меня удочерили.,I'm adopted.
У меня всё готово.,I'm all set.
Я имам.,I'm an imam.
Мне стыдно.,I'm ashamed.
Я дома.,I'm at home.
Я на работе.,I'm at work.
Я озадачен.,I'm baffled.
Я озадачена.,I'm baffled.
У меня биполярное расстройство.,I'm bipolar.
Я счастливый.,I'm blessed.
Я счастливая.,I'm blessed.
Я осторожен.,I'm careful.
Я осторожна.,I'm careful.
Я осторожный.,I'm careful.
Я осторожная.,I'm careful.
Я уверена.,I'm certain.
Я убеждён.,I'm certain.
Я трус.,I'm chicken.
Я трусиха.,I'm chicken.
Я готовлю.,I'm cooking.
Я прав.,I'm correct.
Мне любопытно.,I'm curious.
Я танцую.,I'm dancing.
Я на диете.,I'm dieting.
Я сижу на диете.,I'm dieting.
Я рисую.,I'm drawing.
Я за рулём.,I'm driving.
Я веду.,I'm driving.
Я за рулем.,I'm driving.
Я помолвлена.,I'm engaged.
Я возбуждена.,I'm excited.
Я падаю.,I'm falling.
Я соблюдаю пост.,I'm fasting.
Я придирчивый.,I'm finicky.
Я придирчивая.,I'm finicky.
Я безумен.,I'm frantic.
Я безумна.,I'm frantic.
Я взбешён.,I'm furious.
Я взбешена.,I'm furious.
Я в ярости.,I'm furious.
Я в бешенстве.,I'm furious.
Я взбешен.,I'm furious.
Я здоров.,I'm healthy.
Я здорова.,I'm healthy.
Я полон надежд.,I'm hopeful.
Я деятельный.,I'm humming.
Я деятельная.,I'm humming.
Я в Риме.,I'm in Rome.
Я здесь.,I'm in here.
Я тут.,I'm in here.
Я в тюрьме.,I'm in jail.
Я влюблён.,I'm in love.
Я влюблена.,I'm in love.
Я влюблен.,I'm in love.
Мне везет.,I'm in luck.
Я испытываю боль.,I'm in pain.
Я ревнив.,I'm jealous.
Я ревную.,I'm jealous.
Я завидую.,I'm jealous.
Я ревнивый.,I'm jealous.
Я ревнивая.,I'm jealous.
Я нервный.,I'm jittery.
Я нервная.,I'm jittery.
Шучу.,I'm kidding.
Я ухожу.,I'm leaving.
Я уезжаю.,I'm leaving.
